timestamp,open,high,low,close,volume,sma5,ema5,sma200,sma20,rsi14
2018-02-21,336.03,339.6929,333.17,333.3,3181755,331.9870000000009,331.8956482438806,337.761175,335.3057500000002,50.22225350729148
2018-02-22,335.53,347.44,334.7501,346.17,6940349,336.75900000000087,336.6537654959204,337.956075,335.3197500000002,57.38546668332797
2018-02-23,347.83,354.99,347.1,352.05,5790795,340.35600000000085,341.78584366394693,338.110025,336.0402500000002,60.203226491957466
2018-02-26,353.5,359.0,352.355,357.42,4312871,344.74200000000087,346.99722910929796,338.271025,336.7687500000002,62.6332643317593
2018-02-27,356.25,359.99,350.01,350.99,4761537,347.9860000000009,348.32815273953196,338.410475,336.84175000000016,58.06158821583202
2018-02-28,352.57,355.24,342.22,343.06,6042895,349.9380000000009,346.57210182635464,338.501725,336.70375000000024,52.930351137626914
2018-03-01,345.01,348.67,330.07,330.93,6885601,346.8900000000009,341.35806788423645,338.57697499999995,335.5347500000002,46.20392555441815
2018-03-02,326.98,335.22,322.97,335.12,5092829,343.5040000000009,339.2787119228243,338.66752499999996,334.8282500000002,48.63225695991208
2018-03-05,332.39,337.75,329.2929,333.35,3823769,338.69000000000085,337.3024746152162,338.803725,334.3082500000002,47.65367391649091
2018-03-06,333.75,336.37,327.03,328.2,4285744,334.13200000000086,334.26831641014417,338.87942499999997,334.0617500000002,44.827270172193266
2018-03-07,325.44,332.5,321.74,332.3,5007297,331.98000000000087,333.61221094009613,338.98677499999997,333.97825000000023,47.49709317698115
2018-03-08,332.86,333.3,326.274,329.1,3476944,331.6140000000009,332.10814062673074,339.08052499999997,333.1832500000002,45.6407364058257
2018-03-09,324.1,328.49,322.37,327.17,5479716,330.0240000000009,330.4620937511538,339.197075,333.78025000000025,44.5108055127243
2018-03-12,328.61,347.21,326.5,345.51,8212156,332.45600000000087,335.4780625007692,339.3735249999999,335.53475000000026,55.72739904742761
2018-03-13,344.92,345.12,336.2635,341.84,5932110,335.1840000000008,337.59870833384616,339.4985749999999,336.8402500000003,53.401158317342265
2018-03-14,336.76,339.81,323.93,326.63,7932511,334.05000000000086,333.9424722225641,339.5060249999999,336.9887500000003,45.014545647946235
2018-03-15,329.38,332.85,321.1,325.6,6366922,333.35000000000093,331.16164814837606,339.45852499999995,337.1532500000003,44.504820969173046
2018-03-16,325.96,327.4,319.07,321.35,6058612,332.1860000000009,327.89109876558405,339.360225,336.5175000000003,42.372730496942616
2018-03-19,316.5,320.75,309.67,313.56,7440766,325.79600000000084,323.1140658437227,339.226175,335.4210000000004,38.71192580948357
2018-03-20,314.87,316.25,308.76,310.55,4726182,319.53800000000086,318.92604389581516,339.079675,334.2100000000004,37.368512520095265
2018-03-21,310.25,322.44,310.19,316.53,5927881,317.5180000000008,318.1273625972101,338.92572499999994,333.37150000000037,41.697361588423185
2018-03-22,313.89,318.82,308.18,309.1,4914307,314.21800000000087,315.1182417314734,338.70697499999994,331.51800000000037,38.16758876531959
2018-03-23,311.25,311.61,300.45,301.54,6600538,310.2560000000009,310.5921611543156,338.41642499999995,328.9925000000004,34.92772913256756
2018-03-26,307.34,307.59,291.36,304.18,8324639,308.3800000000009,308.4547741028771,338.0873249999999,326.33050000000037,36.940744652245726
2018-03-27,304.0,304.27,277.18,279.18,13696168,302.1060000000009,298.69651606858474,337.6966249999998,322.7400000000004,28.08156927366035
2018-03-28,264.58,268.68,252.1,257.78,21001437,290.3560000000009,285.0576773790565,337.1904749999999,318.4760000000004,22.997353607573174
2018-03-29,256.49,270.9599,248.21,266.13,15170749,281.7620000000009,278.7484515860377,336.6413749999999,315.2360000000004,28.441399931693837
2018-04-02,256.26,260.3318,244.5901,252.48,16113968,271.9500000000009,269.9923010573584,336.0004749999999,311.1040000000004,25.293274179171092
2018-04-03,269.82,273.35,254.49,267.53,18844384,264.6200000000009,269.1715340382389,335.46142499999985,307.81300000000033,33.97132549269371
2018-04-04,252.78,288.37,252.0,286.94,19896746,266.1720000000009,275.09435602549263,335.0391249999999,305.75000000000034,43.14430098187368
2018-04-05,289.34,306.26,288.2,305.72,19121101,275.7600000000009,285.3029040169951,334.7187249999999,304.42100000000033,50.33372327209085
2018-04-06,301.0,309.28,295.5,299.3,13520286,282.39400000000086,289.9686026779967,334.35402499999987,302.9310000000003,48.09478509154196
2018-04-09,300.37,309.5,289.21,289.66,10249805,289.8300000000009,289.8657351186645,333.92032499999993,301.0555000000003,44.86747036881053
2018-04-10,298.97,307.1,293.68,304.7,11024259,297.2640000000009,294.8104900791096,333.53077499999995,299.01500000000027,50.45359897441178
2018-04-11,300.7403,308.98,299.66,300.93,7482945,300.0620000000009,296.85032671940644,333.1181749999999,296.96950000000027,49.1103568661536
2018-04-12,302.32,303.95,293.68,294.08,7608769,297.7340000000009,295.92688447960427,332.7011249999999,295.34200000000027,46.678633407992656
2018-04-13,303.6,303.9499,295.98,300.34,7327223,297.94200000000086,297.3979229864028,332.3909749999999,294.0790000000003,49.1563207912872
2018-04-16,299.0,299.66,289.01,291.21,6338488,298.25200000000086,295.3352819909352,331.9908249999999,292.57200000000023,45.81273418053051
2018-04-17,288.87,292.17,282.51,287.69,7000023,294.8500000000009,292.7868546606235,331.6255249999999,291.27850000000024,44.554444005667726
2018-04-18,291.08,300.24,288.16,293.35,6557700,293.33400000000086,292.974569773749,331.28422499999994,290.4185000000002,47.07177528395359
2018-04-19,291.08,301.01,288.55,300.08,6090599,294.5340000000009,295.34304651583267,331.02152499999994,289.59600000000023,49.979827059609335
2018-04-20,295.17,299.98,289.75,290.24,5627928,292.5140000000009,293.6420310105551,330.83727500000003,288.6530000000002,46.00022640262816
2018-04-23,291.29,291.62,282.33,283.37,4893378,290.94600000000094,290.2180206737034,330.709975,287.7445000000002,43.4018655519077
2018-04-24,285.0,287.09,278.46,283.46,5685308,290.10000000000093,287.9653471158023,330.561175,286.7085000000002,43.44693332622448
2018-04-25,283.5,285.16,277.25,280.69,4013574,287.56800000000095,285.54023141053483,330.384375,286.78400000000016,42.32973196578626
2018-04-26,278.75,285.79,276.5,285.48,4356013,284.64800000000093,285.5201542736899,330.17567499999996,288.1690000000002,44.96515596329212
2018-04-27,285.37,294.47,283.83,294.075,4364626,285.415000000001,288.3717695157933,329.99844999999993,289.5662500000002,49.430758037385864
2018-04-30,293.61,298.73,292.5,293.9,4228172,287.521000000001,290.21451301052883,329.8508999999999,291.63725000000017,49.34296816812979
2018-05-01,293.51,300.82,293.22,299.92,4625603,290.813000000001,293.44967534035254,329.71159999999986,293.2567500000002,52.47017409925078
2018-05-02,298.57,306.85,297.7844,301.15,8970370,294.905000000001,296.01645022690167,329.61949999999985,293.9672500000002,53.10714084357873
2018-05-03,278.79,288.04,275.23,284.45,17352130,294.69900000000104,292.1609668179344,329.4005499999998,292.9037500000002,44.4057983933276
2018-05-04,283.0,296.86,279.52,294.09,8569354,294.702000000001,292.80397787862296,329.2446999999998,292.6432500000002,49.544861912362016
2018-05-07,297.5,305.9588,295.17,302.77,8678224,296.476000000001,296.1259852524153,329.1089499999998,293.2987500000002,53.69541399796278
2018-05-08,300.7953,307.75,299.0,301.97,5930000,296.886000000001,298.0739901682769,328.97679999999986,293.1622500000002,53.26054244469765
2018-05-09,300.41,307.01,300.05,306.85,5727365,298.02600000000103,300.9993267788513,328.7984499999999,293.45825000000025,55.62161749450438
2018-05-10,307.4997,312.99,304.1119,305.02,5651561,302.140000000001,302.33955118590086,328.62554999999986,294.0052500000003,54.50959134124639
2018-05-11,307.7,308.88,299.08,301.06,4679649,303.534000000001,301.9130341239339,328.4115999999998,294.0412500000003,52.08300258925882
2018-05-14,303.32,304.94,291.62,291.97,7286804,301.37400000000105,298.59868941595596,328.1991499999998,294.0792500000003,46.91965411448144
2018-05-15,285.01,286.96,280.5,284.18,9519173,297.81600000000105,293.7924596106373,327.9446999999997,293.9037500000003,42.98662609103517
2018-05-16,283.83,288.81,281.56,286.48,5674019,293.742000000001,291.35497307375823,327.7597499999997,293.5602500000003,44.466757692653374
2018-05-17,285.9,289.1873,283.97,284.54,4420612,289.646000000001,289.0833153825055,327.5845999999997,292.7832500000003,43.4422978137178
2018-05-18,284.65,284.65,274.0,276.82,7251887,284.798000000001,284.995543588337,327.33924999999965,292.11225000000024,39.53856039826289
2018-05-21,281.33,291.49,281.3,284.49,9182571,283.302000000001,284.82702905889136,327.0262499999997,292.1682500000003,44.8417932243946
2018-05-22,287.762,288.0,273.422,275.01,8945756,281.468000000001,281.5546860392609,326.6167499999997,291.74575000000027,40.15380441202227
2018-05-23,277.76,279.9099,274.0,279.07,5985053,279.98600000000096,280.72645735950726,326.2362499999997,291.66475000000025,42.90670834961718
2018-05-24,278.4,281.11,274.89,277.85,4176708,278.64800000000093,279.7676382396715,325.7993999999997,291.2832500000003,42.277374632298304
2018-05-25,277.6252,279.64,275.61,278.85,3875082,279.05400000000094,279.4617588264477,325.3759999999997,290.52200000000033,43.01517668754636
2018-05-29,278.51,286.5,276.15,283.76,5666640,278.9080000000009,280.89450588429844,325.0177999999997,290.0150000000004,46.62275770422685
2018-05-30,283.29,295.005,281.6,291.72,7489686,282.25000000000097,284.5030039228656,324.6870499999997,289.60500000000036,51.9352667476146
2018-05-31,287.21,290.37,282.93,284.73,5919721,283.38200000000097,284.57866928191044,324.2916999999997,288.7840000000004,47.46751684092579
2018-06-01,285.86,291.95,283.839,291.82,5424386,286.17600000000095,286.9924461879403,323.9391499999997,289.1525000000004,51.97987455663594
2018-06-04,294.34,299.0,293.548,296.74,4797810,289.75400000000093,290.2416307919602,323.60829999999964,289.28500000000037,54.87643468850909
2018-06-05,297.7,297.8,286.74,291.13,5995157,291.2280000000009,290.5377538613068,323.30434999999966,288.7030000000003,51.092052010036326
2018-06-06,300.5,322.17,297.48,319.5,18767269,296.7840000000009,300.19183590753784,323.1645499999997,289.57950000000034,64.44530939443797
2018-06-07,316.15,330.0,313.58,316.09,14345271,303.0560000000009,305.49122393835853,323.05569999999966,290.0415000000003,62.24544905811381
2018-06-08,319.0,324.48,317.15,317.66,8205202,308.22400000000096,309.54748262557234,322.93724999999966,290.67350000000033,62.873817048581095
2018-06-11,322.51,334.66,322.5,332.1,13183473,315.29600000000096,317.06498841704826,322.8338999999997,292.22550000000035,68.12801136859927
2018-06-12,344.7,354.97,338.0,342.77,22347403,325.624000000001,325.6333256113655,322.78309999999965,294.7655000000003,71.3540593839012
2018-06-13,346.70599999999996,347.2,339.8,344.78,9469804,330.680000000001,332.015550407577,322.7667499999996,297.7955000000003,71.93044549394159
2018-06-14,347.63,358.75,346.6,357.72,10981023,339.006000000001,340.583700271718,322.82704999999964,301.35750000000024,75.36677356956768
2018-06-15,353.84,364.67,351.25,358.17,10848254,347.10800000000097,346.44580018114533,322.8810999999996,305.03900000000027,75.4791969681725
2018-06-18,355.4,373.73,354.5,370.83,12073226,354.854000000001,354.57386678743023,322.9693499999996,309.73950000000025,78.45791275324474
2018-06-19,365.16,370.0,346.25,352.55,12761903,356.810000000001,353.8992445249535,322.9525999999996,313.14250000000027,65.99227149356352
2018-06-20,358.04,364.38,352.0,362.22,8383656,360.298000000001,356.6728296833023,322.98669999999964,317.50300000000027,68.8149372975032
2018-06-21,362.0,366.2139,346.27,347.51,7967145,358.256000000001,353.61855312220155,322.97629999999964,320.9250000000003,60.57796844582978
2018-06-22,351.54,352.25,332.0,333.63,10266059,353.348000000001,346.9557020814677,322.9217999999996,323.7140000000003,54.008795795214766
2018-06-25,330.12,338.47,327.5,333.01,6931304,345.7840000000009,342.30713472097847,322.83379999999966,326.4220000000003,53.728518611671184
2018-06-26,336.05400000000003,343.55,325.79900000000004,342.0,7452487,343.67400000000094,342.2047564806523,322.82679999999965,329.3340000000003,57.197079618151584
2018-06-27,345.0,350.79,339.5,344.5,8333727,340.1300000000009,342.9698376537682,322.73084999999963,331.9730000000003,58.136873459038775
2018-06-28,348.66,357.02,346.11,349.93,8398005,340.6140000000009,345.2898917691788,322.66674999999964,335.2330000000003,60.18183408004015
2018-06-29,353.33,353.86,342.41,342.95,6492396,342.47800000000086,344.5099278461192,322.5503499999996,337.78950000000026,56.369937423459014
2018-07-02,360.07,364.78,329.85,335.07,18759765,342.8900000000009,341.3632852307461,322.3374999999996,339.70600000000024,52.33942620345426
2018-07-03,331.75,332.49,309.69,310.86,12282638,336.6620000000009,331.19552348716405,321.9927499999996,340.6925000000002,42.326179683484305
2018-07-05,313.76,314.39,296.22,309.16,17476374,329.5940000000009,323.85034899144273,321.61354999999963,340.1755000000002,41.72257052049175
2018-07-06,304.9545,312.07,302.0,308.9,8865451,321.3880000000009,318.86689932762846,321.2825499999997,339.8160000000002,41.6247999786224
2018-07-09,311.99,318.52,308.0,318.51,7596753,316.50000000000085,318.7479328850856,321.00554999999963,339.8585000000002,46.60526740160843
2018-07-10,324.56,327.6771,319.2,322.47,9471498,313.98000000000087,319.98862192339044,320.7854999999996,339.37700000000024,48.55312499883883
2018-07-11,315.8,321.94,315.07,318.96,4884076,315.60000000000093,319.64574794892695,320.62484999999964,338.18650000000025,46.919294950733125
2018-07-12,321.43,323.23,312.77,316.71,5721166,317.1100000000009,318.66716529928465,320.48344999999966,336.78300000000024,45.854102753566146
2018-07-13,315.58,319.5849,309.25,318.87,5875770,319.1040000000009,318.73477686618975,320.35154999999963,334.84050000000025,47.095819132931176
2018-07-16,311.71,315.16,306.25,310.1,7818655,317.4220000000009,315.8565179107932,320.19719999999967,332.43700000000024,42.80372762550373
2018-07-17,308.81,324.74,308.5,322.69,6996232,317.4660000000009,318.1343452738621,320.1126499999997,330.03000000000026,49.86721636733117
2018-07-18,325.0,325.5,316.25,323.85,5624211,318.44400000000087,320.03956351590807,320.0263999999997,328.59500000000025,50.474093685143124
2018-07-19,316.33,323.54,314.01,320.23,5915345,319.1480000000009,320.10304234393874,319.9198999999997,326.4955000000002,48.500924309965775
2018-07-20,321.23,323.24,311.7093,313.58,5166547,318.0900000000009,317.92869489595915,319.7470999999997,324.7990000000002,45.0192224106117
2018-07-23,301.84,305.5,292.8601,303.2,10992947,316.71000000000083,313.01912993063945,319.4880499999997,323.2775000000002,40.17167663473586
2018-07-24,304.4209,307.7171,292.5452,297.43,9590784,311.65800000000087,307.82275328709295,319.19854999999967,321.4985000000002,37.7390364317045
2018-07-25,296.74,309.62,294.5025,308.74,7094180,308.6360000000009,308.1285021913953,318.95784999999967,319.8355000000002,44.79574165836729
2018-07-26,304.85,310.7,303.6411,306.65,4630522,305.92000000000087,307.63566812759683,318.7763999999997,317.94300000000015,43.80763391976691
2018-07-27,307.25,307.6933,295.3404,297.18,5703326,302.6400000000009,304.1504454183979,318.48434999999967,315.30550000000017,39.550583086584446
2018-07-30,295.9,296.1,286.13,290.17,6814072,300.0340000000009,299.49029694559863,318.1621999999997,312.66650000000016,36.707032021386134
2018-07-31,292.25,298.32,289.07,298.14,5076916,300.1760000000009,299.0401979637324,317.87449999999967,310.8200000000002,41.82794649882472
2018-08-01,297.99,303.0,293.0,300.84,10129430,298.59600000000086,299.6401319758216,317.60084999999964,310.31900000000024,43.49581871533951
2018-08-02,328.44,349.99,323.16,349.54,23214962,307.1740000000009,316.2734213172144,317.59554999999966,312.33800000000025,63.707879749524885
2018-08-03,347.81,355.0,342.53,348.17,13656486,317.37200000000087,326.9056142114763,317.5576499999997,314.30150000000026,63.02488344338999
2018-08-06,345.46,354.98,341.82,341.99,8564331,327.7360000000009,331.93374280765084,317.4693499999996,315.47550000000024,59.90498294553228
2018-08-07,343.84,387.46,339.1501,379.57,30875768,344.02200000000084,347.81249520510056,317.6081499999997,318.3305000000002,69.72079346903891
2018-08-08,369.09,382.64,367.12,370.34,24571163,357.9220000000009,355.32166347006705,317.73434999999967,320.8995000000002,65.48067014662612
2018-08-09,365.55,367.01,345.73,352.45,17183811,358.50400000000093,354.36444231337805,317.8114999999996,322.6865000000002,58.10467584333385
2018-08-10,354.0,360.0,346.0,355.49,11552044,359.9680000000009,354.7396282089187,317.90224999999964,324.5175000000002,58.95084960867282
2018-08-13,361.13,363.19,349.02,356.41,10463881,362.8520000000009,355.2964188059458,318.0550999999997,326.8330000000002,59.21928990658494
2018-08-14,358.45,359.1995,347.1,347.64,6986427,356.4660000000009,352.74427920396386,318.1624499999997,328.0805000000002,55.49379146112115
2018-08-15,341.9059,344.49,332.14,338.69,9101258,350.13600000000093,348.05951946930924,318.2515499999997,328.82250000000016,51.9050750580369
2018-08-16,339.91,342.28,333.82,335.45,6064033,346.7360000000009,343.8563463128728,318.32839999999965,329.5835000000002,50.62864304524005
2018-08-17,323.5,326.77,303.53,305.5,18958612,336.7380000000009,331.0708975419152,318.1982499999997,329.1795000000002,40.671871896584676
2018-08-20,291.7035,308.5,288.2,308.44,17402335,327.1440000000009,323.5272650279435,318.1350499999997,329.4415000000002,41.88019089488808
2018-08-21,310.61,324.79,309.0,321.9,13172230,321.9960000000009,322.9848433519623,318.2482499999997,330.66500000000013,47.183789067777134
2018-08-22,320.87,323.88,314.67,321.64,5945955,318.58600000000087,322.5365622346415,318.3259999999997,331.3100000000002,47.094390905982046
2018-08-23,319.14,327.32,318.1,320.1,5147286,315.5160000000009,321.72437482309437,318.4125999999997,331.9825000000002,46.53202397525822
2018-08-24,320.7,323.85,319.4,322.82,3602564,318.9800000000008,322.08958321539626,318.4964499999997,333.26450000000017,47.71949556020884
2018-08-27,318.0,322.435,308.81,319.27,13079288,321.1460000000008,321.1497221435975,318.57084999999967,334.71950000000015,46.274987646658545
2018-08-28,318.41,318.88,311.19,311.86,7649091,319.13800000000083,318.0531480957317,318.6151999999997,335.40550000000013,43.326799288838195
2018-08-29,310.27,311.85,303.69,305.01,7447392,315.8120000000008,313.7054320638211,318.6252999999997,335.61400000000015,40.74266322881976
2018-08-30,302.26,304.6,297.72,303.15,7216706,312.4220000000008,310.18695470921404,318.5640499999997,333.2945000000001,40.04426022249755
2018-08-31,302.0,305.3082,298.6,301.66,5375104,308.19000000000085,307.3446364728094,318.52884999999975,330.9690000000001,39.46070821294278
