timestamp,open,high,low,close,volume,sma5,rsi14
2016-01-07,136.38,136.67,132.51,133.01,7012058,139.60000000000008,31.49918348358196
2016-01-08,133.7,135.1,129.8,129.99,5776684,136.68000000000006,28.39403444122854
2016-01-11,130.85,131.0,128.92,130.21,5551438,134.62200000000007,28.94355890014738
2016-01-12,131.58,132.17,129.64,131.92,4171096,132.79200000000006,33.23260177890778
2016-01-13,132.7,132.88,127.75,128.12,5073095,130.65000000000003,29.037957212241736
2016-01-14,129.59,130.07,125.814,129.2,6517453,129.88800000000006,31.67744562878697
2016-01-15,125.8,127.135,124.51,125.63,6665940,129.01600000000005,27.973462339382337
2016-01-19,127.06,127.22,125.11,126.06,5478511,128.18600000000006,29.04957755716545
2016-01-20,124.0,124.94,119.82,122.14,7635893,126.23000000000006,25.333657038977634
2016-01-21,122.77,125.98,121.54,123.4,5544963,125.28600000000006,28.499607969098534
2016-01-22,124.42,125.68,123.32,124.61,5259601,124.36800000000008,31.503253975282206
2016-01-25,124.6,125.24,123.4,124.01,4551032,124.04400000000007,30.81204182005547
2016-01-26,124.98,128.15,124.5,128.01,5432256,124.43400000000005,40.227674909501474
2016-01-27,119.9,120.11,115.02,116.58,27933374,123.32200000000007,28.353631632993782
2016-01-28,117.1,118.03,115.06,118.01,10708345,122.24400000000007,31.093977426140285
2016-01-29,118.14,120.18,118.02,120.13,9195206,121.34800000000007,35.05959375738536
2016-02-01,119.64,122.29,118.65,121.56,6812827,120.85800000000009,37.66554645815104
2016-02-02,119.69,120.28,117.37,117.52,8645098,118.76000000000008,33.56730103849655
2016-02-03,118.8,122.13,117.15,121.87,7361035,119.81800000000007,41.009911856208404
2016-02-04,121.12,124.91,121.12,123.61,5834171,120.93800000000007,43.72571372739639
2016-02-05,123.63,124.17,121.03,122.56,6186551,121.42400000000009,42.45549735810454
2016-02-08,120.67,121.33,117.25,119.47,6451319,121.00600000000009,38.87634572896507
2016-02-09,117.98,119.98,117.425,118.88,4136615,121.27800000000009,38.21390683917142
2016-02-10,118.16,119.46,116.27,116.36,4885437,120.17600000000009,35.436470835646475
2016-02-11,113.18,113.4,102.1,108.44,33734476,117.14200000000008,28.440226149695903
2016-02-12,105.12,109.84,105.0,108.63,12973183,114.35600000000008,28.80337696559019
2016-02-16,109.73,112.76,109.0,112.6,7587621,112.98200000000008,36.1002805131323
2016-02-17,114.03,116.83,113.99,116.34,6617451,112.47400000000009,42.118710184154104
2016-02-18,116.91,118.23,116.68,117.57,6488674,112.7160000000001,43.98719574804812
2016-02-19,117.31,117.33,114.42,115.16,6920609,114.06000000000009,41.182045817906165
2016-02-22,116.55,118.97,116.03,117.39,4930150,115.81200000000008,44.69647746296918
2016-02-23,116.97,118.5,115.93,116.9,3761995,116.67200000000007,44.07332134039864
2016-02-24,115.37,115.96,112.51,115.59,6856785,116.52200000000008,42.37246664151121
2016-02-25,116.35,117.6,115.78,116.82,4666597,116.37200000000007,44.53675540918956
2016-02-26,117.75,119.45,117.5,118.16,3757759,116.97200000000007,46.87746913878446
2016-02-29,118.12,119.465,117.5,118.18,4569117,117.13000000000008,46.91348030327755
2016-03-01,119.01,120.9876,118.25,119.96,4595366,117.7420000000001,50.15224013248637
2016-03-02,119.63,120.75,118.5,119.65,4292190,118.55400000000009,49.58486538415304
2016-03-03,118.84,119.73,118.25,119.61,3404500,119.11200000000008,49.507038508611785
2016-03-04,120.17,122.23,119.85,121.07,4421538,119.69400000000007,52.4412310529339
2016-03-07,120.8,123.32,120.57,122.9,4492729,120.63800000000006,55.900426290908435
2016-03-08,121.98,122.97,121.31,122.35,5245967,121.11600000000006,54.61469484878509
2016-03-09,122.38,123.26,122.03,122.86,3380229,121.75800000000007,55.63370951151902
2016-03-10,123.14,123.823,121.43,122.94,4110543,122.42400000000005,55.801349905591664
2016-03-11,124.13,125.5,123.86,124.63,3260095,123.13600000000005,59.30000634028552
2016-03-14,123.93,127.0,123.86,126.34,4282901,123.82400000000007,62.53183826827442
2016-03-15,125.55,126.37,124.21,126.36,3717494,124.62600000000006,62.56927528470072
2016-03-16,126.24,128.13,125.75,127.57,5154713,125.56800000000005,64.85706909397848
2016-03-17,128.07,131.6,127.42,130.7,5800939,127.12000000000003,69.97017810263755
